time,close,hashrate,difficulty,month,year,week_date,reward
2020-05-29,9424.62,95712128.2903599,15138043247082.9,5,2020,2020-05-29,900.0
2020-05-30,9699.78,121923358.305585,15138043247082.9,5,2020,2020-06-05,900.0
2020-05-31,9450.47,114330812.081203,15138043247082.9,5,2020,2020-06-05,900.0
2020-06-01,10211.23,104189530.692203,15138043247082.9,6,2020,2020-06-05,900.0
2020-06-02,9523.75,97487639.0873732,15138043247082.9,6,2020,2020-06-05,900.0
2020-06-03,9666.06,104327821.360995,15138043247082.9,6,2020,2020-06-05,900.0
2020-06-04,9794.55,108405709.889195,14477089134396.9,6,2020,2020-06-05,900.0
2020-06-05,9622.02,122768676.10293,13732352106018.3,6,2020,2020-06-05,900.0
2020-06-06,9671.46,133434276.826872,13732352106018.3,6,2020,2020-06-12,900.0
2020-06-07,9750.7,109484004.234408,13732352106018.3,6,2020,2020-06-12,900.0
2020-06-08,9782.58,110638616.216265,13732352106018.3,6,2020,2020-06-12,900.0
2020-06-09,9779.7,109371266.547804,13732352106018.3,6,2020,2020-06-12,900.0
2020-06-10,9891.84,112661461.807019,13732352106018.3,6,2020,2020-06-12,900.0
2020-06-11,9268.13,126273467.151729,13732352106018.3,6,2020,2020-06-12,900.0
2020-06-12,9464.23,113518760.080147,13732352106018.3,6,2020,2020-06-12,900.0
2020-06-13,9474.65,108400085.4714,13732352106018.3,6,2020,2020-06-19,900.0
2020-06-14,9333.7,116325936.717745,13732352106018.3,6,2020,2020-06-19,900.0
2020-06-15,9429.65,94136031.9373369,13732352106018.3,6,2020,2020-06-19,900.0
2020-06-16,9526.7,108335155.918408,14265974077877.7,6,2020,2020-06-19,900.0
2020-06-17,9459.13,108720804.38471,15784744305477.4,6,2020,2020-06-19,900.0
2020-06-18,9380.67,101051756.151758,15784744305477.4,6,2020,2020-06-19,900.0
2020-06-19,9301.83,115505056.038924,15784744305477.4,6,2020,2020-06-19,900.0
2020-06-20,9359.18,108741872.615713,15784744305477.4,6,2020,2020-06-26,900.0
2020-06-21,9292.81,116044779.099803,15784744305477.4,6,2020,2020-06-26,900.0
2020-06-22,9691.61,112407136.609182,15784744305477.4,6,2020,2020-06-26,900.0
2020-06-23,9624.3,123910741.791364,15784744305477.4,6,2020,2020-06-26,900.0
2020-06-24,9292.94,109182095.232167,15784744305477.4,6,2020,2020-06-26,900.0
2020-06-25,9241.32,111747742.149699,15784744305477.4,6,2020,2020-06-26,900.0
2020-06-26,9158.07,130752867.213428,15784744305477.4,6,2020,2020-06-26,900.0
2020-06-27,9007.14,109411115.53518,15784744305477.4,6,2020,2020-07-03,900.0
2020-06-28,9120.39,117736623.944828,15784744305477.4,6,2020,2020-07-03,900.0
2020-06-29,9187.07,114717677.106412,15784744305477.4,6,2020,2020-07-03,900.0
2020-06-30,9136.47,116853815.605979,15784618886622.8,6,2020,2020-07-03,900.0
2020-07-01,9238.89,127523681.814665,15784217546288.2,7,2020,2020-07-03,900.0
2020-07-02,9092.8,130216943.190477,15784217546288.2,7,2020,2020-07-03,900.0
2020-07-03,9066.46,128401266.20434,15784217546288.2,7,2020,2020-07-03,900.0
2020-07-04,9142.2,124633616.707098,15784217546288.2,7,2020,2020-07-10,900.0
2020-07-05,9081.44,128461342.593338,15784217546288.2,7,2020,2020-07-10,900.0
2020-07-06,9347.05,121441082.046614,15784217546288.2,7,2020,2020-07-10,900.0
2020-07-07,9257.32,126430264.761474,15784217546288.2,7,2020,2020-07-10,900.0
2020-07-08,9439.2,118812271.850476,15784217546288.2,7,2020,2020-07-10,900.0
2020-07-09,9238.95,132217500.22906,15784217546288.2,7,2020,2020-07-10,900.0
2020-07-10,9288.57,126054128.516091,15784217546288.2,7,2020,2020-07-10,900.0
