,machine_cost,tracking_error_ideal,tracking_error_true,short_shortfall_init,short_shortfall_true,weekly_liq_unhedged_init,weekly_liq_unhedged_true,unhedged_tracking_error_init,unhedged_tracking_error_true,k,lambda_C
72,1350.0,0.15361846654838535,0.14086348665291498,0.012513438060505547,0.011517748241990852,587.5690294856158,1870.4267394306785,0.5647636818625068,-0.38550128846716925,72,0.8
73,1350.0,-0.013361536268397416,0.0796199129020263,-1.942890293094024e-16,0.003829967885854102,1855.6011031191567,3267.0601870908904,-0.3745193356438198,-1.4200445830302892,73,0.8
74,1350.0,-0.011712574370298361,0.1466877122120368,1.1102230246251565e-16,0.0038299678858544073,2154.1118278035433,3588.650501830614,-0.5956383909655876,-1.6582596309856399,74,0.8
75,1350.0,0.40215996197495407,0.07936991462596334,0.0372523556951915,0.007771633439770775,522.1350994537238,1527.8824561187623,0.6132332596639083,-0.1317647823101943,75,0.8
76,1350.0,-0.012984986563058925,0.0570260745971374,-8.604228440844963e-16,0.003829967885853436,1152.1924971467756,2531.2115720191105,0.14652407618757363,-0.8749715348289707,76,0.8
77,1350.0,0.007415951851642359,0.03955404145547798,0.0014452342388149853,0.0037460749511787073,1085.8402700632105,2423.172488741796,0.1956738740272515,-0.7949425842531821,77,0.8
78,1350.0,-0.01681155464193827,0.14068479430970607,3.3306690738754696e-16,0.0038299678858546293,5209.284530064069,6743.714353218099,-2.85872928152894,-3.99534396534674,78,0.8
79,1350.0,0.12366192829666783,0.07410190053592289,0.008703048081968257,0.005451716435060983,935.7104704731973,2223.2203912498608,0.3068811329828168,-0.6468299194443413,79,0.8
80,1350.0,-0.015375310238129979,0.07401895360625271,2.498001805406602e-16,0.003829967885854546,2790.112956148017,4222.958962725954,-1.06675033788742,-2.128117750167373,80,0.8
81,1350.0,-0.009191564102522937,0.07437988429895596,-5.551115123125783e-17,0.0038299678858542408,1343.794951165546,2739.9605806504514,0.0045963324699658656,-1.0296004301114454,81,0.8
82,1350.0,-0.017332589344032437,0.5659761654126666,1.942890293094024e-16,0.0038299678858544906,8224.62283023014,9904.382496977954,-5.092313207577882,-6.336579627391077,82,0.8
83,1350.0,-0.01627696697795352,0.09494499615955097,-5.551115123125783e-16,0.003829967885853741,2981.844785395853,4432.848765343869,-1.208773915108039,-2.2835916780324954,83,0.8
84,1350.0,-0.016732923253669246,0.06872165985979917,-1.4710455076283324e-15,0.003829967885852825,2868.462137683834,4304.012665832779,-1.124786768654692,-2.188157530246503,84,0.8
85,1350.0,-0.016381600380075863,0.05369304953043259,-2.7755575615628914e-17,0.0038299678858542685,3015.80967097258,4460.507845554567,-1.2339330896093186,-2.304079885595976,85,0.8
86,1350.0,0.0038467342578732944,0.029499826065215833,0.001445234238814791,0.003746074951178513,1004.0614183494082,2341.3461789644243,0.2562508012226606,-0.7343305029366106,86,0.8
87,1350.0,-0.015625530825368744,0.08436756676911533,-5.828670879282072e-16,0.0038299678858537134,3149.5086025749047,4595.521211464804,-1.3329693352406702,-2.4040897862702253,87,0.8
88,1350.0,0.15378061331074225,0.03185476153492028,0.013670736985307685,0.003149865039411351,422.449895953379,1596.6904823812029,0.6870741511456452,-0.18273369065274286,88,0.8
89,1350.0,-0.016654456358233084,0.2764123322972242,7.216449660063518e-16,0.003829967885855018,5618.955498093741,7185.168218071636,-3.1621892578472157,-4.322346828201212,89,0.8
